Ranking;Name;Year;Minutes;Genre;Rating;Votes;Gross
243;The Red Shoes;1948;135;Drama, Music, Romance;8,1;35,59;$10,90M
244;Gladiator;2000;155;Action, Adventure, Drama;8,5;1,495,870;$187,71M
245;Boogie Nights;1997;155;Drama;7,9;267,18;$26,40M
246;La Belle et la Bête;1946;96;Drama, Fantasy, Romance;7,9;26,77;$0,30M
247;Miracle on 34th Street;1947;96;Comedy, Drama, Family;7,9;48,63;$2,65M
248;For a Few Dollars More;1965;132;Western;8,2;257,64;$15,00M
249;Superman;1978;143;Action, Adventure, Sci-Fi;7,4;176,29;$134,22M
250;Children of Heaven;1997;89;Drama, Family, Sport;8,2;75,37;$0,93M
251;Ran;1985;162;Action, Drama, War;8,2;126,43;$4,14M
252;The Hunt;2012;115;Drama;8,3;330,75;$0,69M
253;Braveheart;1995;178;Biography, Drama, History;8,4;1,036,814;$75,60M
254;Harry Potter and the Deathly Hallows: Part 2;2011;130;Adventure, Family, Fantasy;8,1;873,54;$381,01M
255;Room;2015;118;Drama, Thriller;8,1;421,34;$14,68M
256;Django Unchained;2012;165;Drama, Western;8,4;1,547,398;$162,81M
257;Rushmore;1998;93;Comedy, Drama, Romance;7,6;186,79;$17,11M
258;Get Out;2017;104;Horror, Mystery, Thriller;7,7;609,31;$176,04M
259;Scarface;1983;170;Crime, Drama;8,3;839,82;$45,60M
260;Inglourious Basterds;2009;153;Adventure, Drama, War;8,3;1,443,620;$120,54M
261;Drive;2011;100;Action, Drama;7,8;640,67;$35,06M
262;Star Wars: Episode VII - The Force Awakens;2015;138;Action, Adventure, Sci-Fi;7,8;930,21;$936,66M
263;The Handmaiden;2016;145;Drama, Romance, Thriller;8,1;148,31;$2,01M
264;The Truman Show;1998;103;Comedy, Drama;8,2;1,078,281;$125,62M
265;Mulholland Drive;2001;147;Drama, Mystery, Thriller;7,9;357,10;$7,22M
266;Life of Brian;1979;94;Comedy;8,0;400,75;$20,05M
267;The Exorcist;1973;122;Horror;8,1;409,33;$232,91M
268;Aladdin;1992;90;Animation, Adventure, Comedy;8,0;420,65;$217,35M
269;The Wolf of Wall Street;2013;180;Biography, Comedy, Crime;8,2;1,402,646;$116,90M
270;Donnie Darko;2001;113;Drama, Mystery, Sci-Fi;8,0;801,97;$1,48M
271;Before Sunrise;1995;101;Drama, Romance;8,1;309,11;$5,54M
272;Let the Right One In;2008;114;Drama, Fantasy, Horror;7,9;218,77;$2,12M
273;The Bourne Ultimatum;2007;115;Action, Mystery, Thriller;8,0;635,91;$227,47M
274;The Celebration;1998;105;Drama;8,1;87,75;$1,65M
275;Ratatouille;2007;111;Animation, Adventure, Comedy;8,1;735,67;$206,45M
276;JFK;1991;189;Drama, History, Thriller;8,0;157,43;$70,41M
277;The Jungle Book;1967;78;Animation, Adventure, Comedy;7,6;184,44;$141,84M
278;Children of Men;2006;109;Action, Drama, Sci-Fi;7,9;501,94;$35,55M
279;The Social Network;2010;120;Biography, Drama;7,8;703,34;$96,96M
280;Princess Mononoke;1997;134;Animation, Action, Adventure;8,4;394,93;$2,38M
281;Ikiru;1952;143;Drama;8,3;79,20;$0,06M
282;The Incredibles;2004;115;Animation, Action, Adventure;8,0;736,94;$261,44M
283;Untouchable;2011;112;Biography, Comedy, Drama;8,5;856,29;$13,18M
284;In the Name of the Father;1993;133;Biography, Crime, Drama;8,1;176,08;$25,01M
285;Kill Bill: Vol, 1;2003;111;Action, Crime, Drama;8,2;1,113,629;$70,10M
286;Blade Runner 2049;2017;164;Action, Drama, Mystery;8,0;571,51;$92,05M
287;Skyfall;2012;143;Action, Adventure, Thriller;7,8;697,80;$304,36M
288;The Blues Brothers;1980;133;Action, Adventure, Comedy;7,9;201,02;$57,23M
289;The Secret in Their Eyes;2009;129;Drama, Mystery, Romance;8,2;210,58;$6,39M
290;Groundhog Day;1993;101;Comedy, Drama, Fantasy;8,1;631,71;$70,91M
291;American Graffiti;1973;110;Comedy, Drama;7,4;91,29;$115,00M
292;Crimes and Misdemeanors;1989;104;Comedy, Drama;7,8;58,50;$18,25M
293;Amores perros;2000;154;Drama, Thriller;8,1;241,40;$5,38M
294;Howl's Moving Castle;2004;119;Animation, Adventure, Family;8,2;395,53;$4,71M
295;Gandhi;1982;191;Biography, Drama, History;8,1;232,54;$52,77M
296;My Neighbour Totoro;1988;86;Animation, Comedy, Family;8,1;339,90;$1,11M
297;Notorious;1946;102;Drama, Film-Noir, Romance;7,9;101,95;$10,46M
298;Her;2013;126;Drama, Romance, Sci-Fi;8,0;613,53;$25,57M
299;Incendies;2010;131;Drama, Mystery;8,3;178,49;$6,86M
300;Strangers on a Train;1951;101;Crime, Drama, Film-Noir;7,9;134,79;$7,63M
301;Sin City;2005;124;Crime, Thriller;8,0;770,35;$74,10M
302;Lock, Stock and Two Smoking Barrels;1998;107;Action, Comedy, Crime;8,2;582,84;$3,90M
303;The Favourite;2018;119;Biography, Comedy, Drama;7,5;201,50;$34,37M
304;Before Midnight;2013;109;Drama, Romance;7,9;159,42;$8,11M
305;A Beautiful Mind;2001;135;Biography, Drama;8,2;931,87;$170,74M
306;Carlito's Way;1993;144;Crime, Drama, Thriller;7,9;219,75;$36,95M
307;The Untouchables;1987;119;Crime, Drama, Thriller;7,8;311,33;$76,27M
308;Casino;1995;178;Crime, Drama;8,2;520,65;$42,44M
309;Gran Torino;2008;116;Drama;8,1;776,04;$148,10M
310;Memories of Murder;2003;131;Crime, Drama, Mystery;8,1;185,11;$0,01M
311;Hacksaw Ridge;2016;139;Biography, Drama, History;8,1;525,25;$67,21M
312;Silver Linings Playbook;2012;122;Comedy, Drama, Romance;7,7;710,48;$132,09M
313;Little Miss Sunshine;2006;101;Comedy, Drama;7,8;482,83;$59,89M
314;Nights of Cabiria;1957;110;Drama;8,1;49,49;$0,75M
315;Into the Wild;2007;148;Adventure, Biography, Drama;8,1;623,87;$18,35M
316;Dunkirk;2017;106;Action, Drama, History;7,8;657,80;$188,37M
317;Shoplifters;2018;121;Crime, Drama, Thriller;7,9;77,43;$3,31M
318;Stalker;1979;162;Drama, Sci-Fi;8,1;135,04;$0,23M
319;Les Diaboliques;1955;117;Crime, Drama, Horror;8,1;66,41;$1,09M
320;Hot Fuzz;2007;121;Action, Comedy, Mystery;7,8;507,00;$23,64M
321;Gone Girl;2014;149;Drama, Mystery, Thriller;8,1;980,65;$167,77M
322;Hotel Rwanda;2004;121;Biography, Drama, History;8,1;356,56;$23,53M
323;Wild Tales;2014;122;Comedy, Drama, Thriller;8,1;199,26;$3,11M
324;The Grand Budapest Hotel;2014;99;Adventure, Comedy, Crime;8,1;808,03;$59,10M
325;Prisoners;2013;153;Crime, Drama, Mystery;8,1;710,29;$61,00M
326;Toy Story 2;1999;92;Animation, Adventure, Comedy;7,9;581,77;$245,85M
327;Short Term 12;2013;96;Drama;7,9;88,38;$1,01M
328;The Martian;2015;144;Adventure, Drama, Sci-Fi;8,0;853,07;$228,43M
329;Rush;2013;123;Action, Biography, Drama;8,1;480,58;$26,95M
330;Dawn of the Dead;1978;127;Horror, Thriller;7,8;122,16;$5,10M
331;Catch Me If You Can;2002;141;Biography, Crime, Drama;8,1;979,51;$164,62M
332;Akira;1988;124;Animation, Action, Drama;8,0;187,72;$0,55M
333;Paper Moon;1973;102;Comedy, Crime, Drama;8,1;48,33;$30,93M
334;Infernal Affairs;2002;101;Action, Crime, Drama;8,0;125,49;$0,17M
335;Mary Poppins;1964;139;Comedy, Family, Fantasy;7,8;173,99;$102,27M
336;Dog Day Afternoon;1975;125;Biography, Crime, Drama;8,0;258,30;$50,00M
337;The Triplets of Belleville;2003;80;Animation, Adventure, Comedy;7,7;54,88;$7,00M
338;Wings of Desire;1987;128;Drama, Fantasy, Romance;8,0;71,81;$3,33M
339;What Ever Happened to Baby Jane?;1962;134;Drama, Horror, Thriller;8,0;57,25;$4,05M
340;Anomalisa;2015;90;Animation, Comedy, Drama;7,2;72,44;$3,76M
341;Edward Scissorhands;1990;105;Drama, Fantasy, Romance;7,9;492,71;$56,36M
342;Ghostbusters;1984;105;Action, Comedy, Fantasy;7,8;416,85;$238,63M
